round,tourney_level,n_matches,cell_upset_rate,pi_cell,pi_fallback,shrinkage_weight,pi_raw,pi
F,1000,91,0.3516,0.9824,0.9965,1.0,0.9824,2.1601
QF,1000,364,0.3324,0.9287,0.9962,1.0,0.9287,2.042
R128,1000,992,0.4516,1.2617,0.9853,1.0,1.2617,2.7742
R16,1000,728,0.3049,0.8519,0.9861,1.0,0.8519,1.8731
R32,1000,1455,0.3086,0.8621,1.0056,1.0,0.8621,1.8956
R64,1000,2383,0.3588,1.0024,0.9694,1.0,1.0024,2.204
SF,1000,182,0.3407,0.9517,1.0324,1.0,0.9517,2.0926
F,250,387,0.3669,1.0251,1.0575,1.0,1.0251,2.254
QF,250,1544,0.3918,1.0947,1.0572,1.0,1.0947,2.407
R16,250,3088,0.3818,1.0666,1.0465,1.0,1.0666,2.3452
R32,250,4756,0.4081,1.1402,1.0671,1.0,1.1402,2.507
R64,250,240,0.4125,1.1524,1.0287,1.0,1.1524,2.5339
RR,250,12,0.3333,0.9312,1.0329,0.4,0.9922,2.1816
SF,250,774,0.4238,1.1839,1.0956,1.0,1.1839,2.6031
F,500,156,0.3397,0.9491,0.9936,1.0,0.9491,2.0869
QF,500,624,0.3221,0.8999,0.9933,1.0,0.8999,1.9787
R16,500,1248,0.3389,0.9469,0.9833,1.0,0.9469,2.082
R32,500,2420,0.3517,0.9824,1.0027,1.0,0.9824,2.1601
R64,500,318,0.4277,1.1948,0.9666,1.0,1.1948,2.6271
SF,500,312,0.3846,1.0745,1.0294,1.0,1.0745,2.3626
F,ATP Finals,9,0.6667,1.8625,1.0126,0.3,1.2676,2.7872
RR,ATP Finals,119,0.3445,0.9625,0.9891,1.0,0.9625,2.1163
SF,ATP Finals,20,0.35,0.9778,1.0491,0.6667,1.0016,2.2023
F,Grand Slam,43,0.3256,0.9096,0.9028,1.0,0.9096,2.0
QF,Grand Slam,172,0.2674,0.7472,0.9026,1.0,0.7472,1.6429
R128,Grand Slam,2752,0.3161,0.8832,0.8927,1.0,0.8832,1.942
R16,Grand Slam,344,0.2413,0.6741,0.8935,1.0,0.6741,1.4822
R32,Grand Slam,688,0.2558,0.7147,0.9111,1.0,0.7147,1.5715
R64,Grand Slam,1376,0.2769,0.7736,0.8783,1.0,0.7736,1.701
SF,Grand Slam,86,0.1628,0.4548,0.9354,1.0,0.4548,1.0
