surface,tourney_name,tourney_level,round,total_matches,upsets,upset_rate
Clay,Madrid Masters,1000,F,10,2,0.2
Clay,Madrid Masters,1000,QF,40,13,0.325
Clay,Madrid Masters,1000,R128,96,42,0.4375
Clay,Madrid Masters,1000,R16,80,26,0.325
Clay,Madrid Masters,1000,R32,160,45,0.2812
Clay,Madrid Masters,1000,R64,264,104,0.3939
Clay,Madrid Masters,1000,SF,20,5,0.25
Clay,Monte Carlo Masters,1000,F,10,1,0.1
Clay,Monte Carlo Masters,1000,QF,40,18,0.45
Clay,Monte Carlo Masters,1000,R16,80,24,0.3
Clay,Monte Carlo Masters,1000,R32,160,35,0.2188
Clay,Monte Carlo Masters,1000,R64,240,84,0.35
Clay,Monte Carlo Masters,1000,SF,20,12,0.6
Clay,Rome Masters,1000,F,11,5,0.4545
Clay,Rome Masters,1000,QF,44,13,0.2955
Clay,Rome Masters,1000,R128,96,47,0.4896
Clay,Rome Masters,1000,R16,88,21,0.2386
Clay,Rome Masters,1000,R32,176,48,0.2727
Clay,Rome Masters,1000,R64,287,110,0.3833
Clay,Rome Masters,1000,SF,22,4,0.1818
Hard,Canada Masters,1000,F,10,4,0.4
Hard,Canada Masters,1000,QF,40,17,0.425
Hard,Canada Masters,1000,R128,32,16,0.5
Hard,Canada Masters,1000,R16,80,27,0.3375
Hard,Canada Masters,1000,R32,160,66,0.4125
Hard,Canada Masters,1000,R64,240,90,0.375
Hard,Canada Masters,1000,SF,20,8,0.4
Hard,Cincinnati Masters,1000,F,11,6,0.5455
Hard,Cincinnati Masters,1000,QF,44,11,0.25
Hard,Cincinnati Masters,1000,R128,32,15,0.4688
Hard,Cincinnati Masters,1000,R16,88,29,0.3295
Hard,Cincinnati Masters,1000,R32,176,58,0.3295
Hard,Cincinnati Masters,1000,R64,272,106,0.3897
Hard,Cincinnati Masters,1000,SF,22,9,0.4091
Hard,Indian Wells Masters,1000,F,10,5,0.5
Hard,Indian Wells Masters,1000,QF,40,14,0.35
Hard,Indian Wells Masters,1000,R128,320,151,0.4719
Hard,Indian Wells Masters,1000,R16,80,22,0.275
Hard,Indian Wells Masters,1000,R32,160,59,0.3688
Hard,Indian Wells Masters,1000,R64,320,90,0.2812
Hard,Indian Wells Masters,1000,SF,20,4,0.2
